realConf,order,h_sch_1,h_sch_2,sub_val,binary_decision,normalized_conf,time,full_answer,tries
0.0,1,PurchaseOrder.DeliverTo.Contact,PO.Contact.contactName,80,1,60,25.0,"80, 25",2
0.0,2,PurchaseOrder.DeliverTo.Contact,PO.Contact.contactEmail,95,1,90,15.0,"95, 15",1
1.0,3,PurchaseOrder.InvoiceTo.Contact.telephone,PO.Contact.contactPhone,10,0,80,18.0,"10, 18",1
0.0,4,PurchaseOrder.InvoiceTo.Contact,PO.Contact.contactName,40,0,20,12.0,"40, 12",1
1.0,5,PurchaseOrder.Header,PO.POHeader,100,1,100,20.0,"100, 20",1
0.0,6,PurchaseOrder.InvoiceTo.Address.postalCode,PO.POShipTo.postalCode,85,1,70,15.0,"85, 15",1
1.0,7,PurchaseOrder.DeliverTo.Contact.telephone,PO.Contact.contactPhone,70,1,40,12.0,"70, 12",2
1.0,8,PurchaseOrder,PO,100,1,100,8.0,"100, 8",1
0.0,9,PurchaseOrder.DeliverTo.Address.postalCode,PO.POBillTo.postalCode,80,1,60,10.0,"80, 10",1
1.0,10,PurchaseOrder.Header.Contact.telephone,PO.Contact.contactPhone,55,1,10,13.0,"55, 13",1
0.0,11,PurchaseOrder.DeliverTo.Address.stateProvince,PO.POBillTo.stateProvince,80,1,60,15.0,"80, 15",1
0.0,12,PurchaseOrder.Header.ourAccountCode,PO.Contact.contactFunctionCode,20,0,60,10.0,"20, 10",1
0.0,13,PurchaseOrder.Header.Contact.contactName,PO.Contact,90,1,80,7.0,"90, 7",2
1.0,14,PurchaseOrder.Header.orderDate,PO.POHeader.poDate,95,1,90,11.0,"95, 11",1
0.0,15,PurchaseOrder.Header.ourAccountCode,PO.POBillTo.postalCode,20,0,60,8.0,"20, 8",1
1.0,16,PurchaseOrder.Items.Item.partNumber,PO.POLines.Item.partNo,90,1,80,10.0,"90, 10",1
0.0,17,PurchaseOrder.Items,PO.POLines.Item,100,1,100,12.0,"100, 12",1
0.0,18,PurchaseOrder.InvoiceTo.Contact.contactName,PO.Contact,80,1,60,8.0,"80, 8",1
0.0,19,PurchaseOrder.Items.Item.salesValue,PO.Contact,10,0,80,15.0,"10, 15",1
1.0,20,PurchaseOrder.Header.Contact.e-mail,PO.Contact.contactEmail,90,1,80,10.0,"90, 10",1
0.0,21,PurchaseOrder.DeliverTo.Contact.companyName,PO.Contact.contactName,30,0,40,12.0,"30, 12",1
1.0,22,PurchaseOrder.Items.Item.quantity,PO.POLines.Item.qty,95,1,90,10.0,"95, 10",1
1.0,23,PurchaseOrder.DeliverTo,PO.POShipTo,100,1,100,8.0,"100, 8",1
0.0,24,PurchaseOrder.Items.itemCount,PO.POLines.Item,70,1,40,7.0,"70, 7",1
1.0,25,PurchaseOrder.Items.itemCount,PO.POLines.count,95,1,90,9.0,"95, 9",1
1.0,26,PurchaseOrder.Header.orderNum,PO.POHeader.poNumber,85,1,70,11.0,"85, 11",1
0.0,27,PurchaseOrder.InvoiceTo.Address,PO.POLines.Item.qty,90,1,80,6.0,"90, 6",2
1.0,28,PurchaseOrder.InvoiceTo.Contact.e-mail,PO.Contact.contactEmail,85,1,70,7.0,"85, 7",1
1.0,29,PurchaseOrder.Items,PO.POLines,100,1,100,5.0,"100, 5",1
1.0,30,PurchaseOrder.Items.Item.unitOfMeasure,PO.POLines.Item.uom,100,1,100,8.0,"100, 8",1
1.0,31,PurchaseOrder.DeliverTo.Contact.contactName,PO.Contact.contactName,40,0,20,9.0,"40, 9",1
