realConf,order,h_sch_1,h_sch_2,sub_val,binary_decision,normalized_conf,full_answer,tries
0.0,1,PurchaseOrder.DeliverTo.Contact,PO.Contact.contactName,80,1,60,"80, A refers to the same entity in B.",1
0.0,2,PurchaseOrder.DeliverTo.Contact,PO.Contact.contactEmail,100,1,100,"100, A refers to the same entity in B.",1
1.0,3,PurchaseOrder.InvoiceTo.Contact.telephone,PO.Contact.contactPhone,30,0,40,"30, A and B have similar properties but no clear correspondence.",1
0.0,4,PurchaseOrder.InvoiceTo.Contact,PO.Contact.contactName,90,1,80,"90, A and B have similar properties and refer to the same entity.",1
1.0,5,PurchaseOrder.Header,PO.POHeader,60,1,20,"60, A and B have some similarities but no clear correspondence.",1
0.0,6,PurchaseOrder.InvoiceTo.Address.postalCode,PO.POShipTo.postalCode,20,0,60,"20, A and B have a similar property but no clear correspondence.",1
1.0,7,PurchaseOrder.DeliverTo.Contact.telephone,PO.Contact.contactPhone,40,0,20,"40, A and B have some similarities but no clear correspondence.",1
1.0,8,PurchaseOrder,PO,100,1,100,"100, A and B refer to the same entity.",1
0.0,9,PurchaseOrder.DeliverTo.Address.postalCode,PO.POBillTo.postalCode,20,0,60,"20, A and B have a similar property but no clear correspondence.",1
1.0,10,PurchaseOrder.Header.Contact.telephone,PO.Contact.contactPhone,30,0,40,"30, A and B have similar properties but no clear correspondence.",1
0.0,11,PurchaseOrder.DeliverTo.Address.stateProvince,PO.POBillTo.stateProvince,55,1,10,"55, A and B have some similarities but not enough information to make a clear correspondence.",2
0.0,12,PurchaseOrder.Header.ourAccountCode,PO.Contact.contactFunctionCode,10,0,80,"10, A and B have no clear correspondence.",1
0.0,13,PurchaseOrder.Header.Contact.contactName,PO.Contact,20,0,60,"20, A and B have some similarities but no clear correspondence.",1
1.0,14,PurchaseOrder.Header.orderDate,PO.POHeader.poDate,70,1,40,"70, A and B have similar properties and may correspond.",1
0.0,15,PurchaseOrder.Header.ourAccountCode,PO.POBillTo.postalCode,20,0,60,"20, A and B have dissimilar properties and no clear correspondence.",1
1.0,16,PurchaseOrder.Items.Item.partNumber,PO.POLines.Item.partNo,60,1,20,"60, A and B have similar properties and may correspond.",1
0.0,17,PurchaseOrder.Items,PO.POLines.Item,100,1,100,"100, A and B refer to the same entity.",1
0.0,18,PurchaseOrder.InvoiceTo.Contact.contactName,PO.Contact,20,0,60,"20, A and B have some similarities but no clear correspondence.",1
0.0,19,PurchaseOrder.Items.Item.salesValue,PO.Contact,10,0,80,"10, A and B have dissimilar properties and no clear correspondence.",1
1.0,20,PurchaseOrder.Header.Contact.e-mail,PO.Contact.contactEmail,90,1,80,"90, A and B have similar properties and may correspond.",1
0.0,21,PurchaseOrder.DeliverTo.Contact.companyName,PO.Contact.contactName,20,0,60,"20, A and B have some similarities but no clear correspondence.",1
1.0,22,PurchaseOrder.Items.Item.quantity,PO.POLines.Item.qty,80,1,60,"80, A and B have similar properties and may correspond.",1
1.0,23,PurchaseOrder.DeliverTo,PO.POShipTo,100,1,100,"100, A and B refer to the same entity.",1
0.0,24,PurchaseOrder.Items.itemCount,PO.POLines.Item,80,1,60,"80, A and B have similar properties and may correspond.",1
1.0,25,PurchaseOrder.Items.itemCount,PO.POLines.count,90,1,80,"90, A and B have similar properties and may correspond.",1
1.0,26,PurchaseOrder.Header.orderNum,PO.POHeader.poNumber,100,1,100,"100, A and B refer to the same entity.",1
0.0,27,PurchaseOrder.InvoiceTo.Address,PO.POLines.Item.qty,10,0,80,"10, A and B have dissimilar properties and no clear correspondence.",1
1.0,28,PurchaseOrder.InvoiceTo.Contact.e-mail,PO.Contact.contactEmail,80,1,60,"80, A and B have similar properties and may correspond.",1
1.0,29,PurchaseOrder.Items,PO.POLines,100,1,100,"100, A and B refer to the same entity.",1
1.0,30,PurchaseOrder.Items.Item.unitOfMeasure,PO.POLines.Item.uom,100,1,100,"100, A and B refer to the same entity.",1
