realConf,order,h_sch_1,h_sch_2,sub_val,binary_decision,normalized_conf,time,full_answer,tries
0.0,1,PurchaseOrder.DeliverTo.Contact,PO.Contact.contactName,90,1,80,25.0,"90, 25",1
0.0,2,PurchaseOrder.DeliverTo.Contact,PO.Contact.contactEmail,100,1,100,20.0,"100, 20",1
1.0,3,PurchaseOrder.InvoiceTo.Contact.telephone,PO.Contact.contactPhone,30,0,40,22.0,"30, 22",1
0.0,4,PurchaseOrder.InvoiceTo.Contact,PO.Contact.contactName,75,1,50,15.0,"75, 15",1
1.0,5,PurchaseOrder.Header,PO.POHeader,100,1,100,20.0,"100, 20",1
0.0,6,PurchaseOrder.InvoiceTo.Address.postalCode,PO.POShipTo.postalCode,90,1,80,18.0,"90, 18",1
1.0,7,PurchaseOrder.DeliverTo.Contact.telephone,PO.Contact.contactPhone,85,1,70,20.0,"85, 20",1
1.0,8,PurchaseOrder,PO,100,1,100,10.0,"100, 10",1
0.0,9,PurchaseOrder.DeliverTo.Address.postalCode,PO.POBillTo.postalCode,80,1,60,15.0,"80, 15",1
1.0,10,PurchaseOrder.Header.Contact.telephone,PO.Contact.contactPhone,90,1,80,18.0,"90, 18",1
0.0,11,PurchaseOrder.DeliverTo.Address.stateProvince,PO.POBillTo.stateProvince,60,1,20,20.0,"60, 20",1
0.0,12,PurchaseOrder.Header.ourAccountCode,PO.Contact.contactFunctionCode,10,0,80,25.0,"10, 25",1
0.0,13,PurchaseOrder.Header.Contact.contactName,PO.Contact,20,0,60,20.0,"20, 20",1
1.0,14,PurchaseOrder.Header.orderDate,PO.POHeader.poDate,95,1,90,15.0,"95, 15",1
0.0,15,PurchaseOrder.Header.ourAccountCode,PO.POBillTo.postalCode,30,0,40,20.0,"30, 20",1
1.0,16,PurchaseOrder.Items.Item.partNumber,PO.POLines.Item.partNo,80,1,60,15.0,"80, 15",1
0.0,17,PurchaseOrder.Items,PO.POLines.Item,60,1,20,18.0,"60, 18",1
0.0,18,PurchaseOrder.InvoiceTo.Contact.contactName,PO.Contact,40,0,20,20.0,"40, 20",1
0.0,19,PurchaseOrder.Items.Item.salesValue,PO.Contact,10,0,80,20.0,"10, 20",1
1.0,20,PurchaseOrder.Header.Contact.e-mail,PO.Contact.contactEmail,95,1,90,15.0,"95, 15",1
0.0,21,PurchaseOrder.DeliverTo.Contact.companyName,PO.Contact.contactName,20,0,60,20.0,"20, 20",1
1.0,22,PurchaseOrder.Items.Item.quantity,PO.POLines.Item.qty,100,1,100,12.0,"100, 12",1
1.0,23,PurchaseOrder.DeliverTo,PO.POShipTo,80,1,60,15.0,"80, 15",1
0.0,24,PurchaseOrder.Items.itemCount,PO.POLines.Item,15,0,70,20.0,"15, 20",1
1.0,25,PurchaseOrder.Items.itemCount,PO.POLines.count,90,1,80,15.0,"90, 15",1
1.0,26,PurchaseOrder.Header.orderNum,PO.POHeader.poNumber,95,1,90,10.0,"95, 10",1
0.0,27,PurchaseOrder.InvoiceTo.Address,PO.POLines.Item.qty,20,0,60,15.0,"20, 15",1
1.0,28,PurchaseOrder.InvoiceTo.Contact.e-mail,PO.Contact.contactEmail,95,1,90,15.0,"95, 15",1
1.0,29,PurchaseOrder.Items,PO.POLines,90,1,80,12.0,"90, 12",1
1.0,30,PurchaseOrder.Items.Item.unitOfMeasure,PO.POLines.Item.uom,100,1,100,15.0,"100, 15",1
1.0,31,PurchaseOrder.DeliverTo.Contact.contactName,PO.Contact.contactName,20,0,60,20.0,"20, 20",1
