realConf,order,h_sch_1,h_sch_2,sub_val,binary_decision,normalized_conf,full_answer,tries
0.0,1,PurchaseOrder.DeliverTo.Contact,PO.Contact.contactName,80,1,60,"80, A refers to a general contact while B corresponds to the specific contact name, which is a string.",1
0.0,2,PurchaseOrder.DeliverTo.Contact,PO.Contact.contactEmail,90,1,80,"90, A refers to a general contact while B corresponds to the specific contact email, which is a string.",1
1.0,3,PurchaseOrder.InvoiceTo.Contact.telephone,PO.Contact.contactPhone,60,1,20,"60, Both refer to contact phone numbers, but the hierarchy is different.",2
0.0,4,PurchaseOrder.InvoiceTo.Contact,PO.Contact.contactName,90,1,80,"90, A refers to a general contact while B corresponds to the specific contact name, which is a string.",1
1.0,5,PurchaseOrder.Header,PO.POHeader,80,1,60,"80, Both refer to the header, but the hierarchy is different.",1
0.0,6,PurchaseOrder.InvoiceTo.Address.postalCode,PO.POShipTo.postalCode,30,0,40,"30, Both have the same name and a string data type, but the hierarchy and instances are different.",1
1.0,7,PurchaseOrder.DeliverTo.Contact.telephone,PO.Contact.contactPhone,40,0,20,"40, Both refer to phone numbers, but the hierarchy and instances are different.",1
1.0,8,PurchaseOrder,PO,100,1,100,"100, Both refer to the same concept and have the same name and type.",1
0.0,9,PurchaseOrder.DeliverTo.Address.postalCode,PO.POBillTo.postalCode,70,1,40,"70, Both refer to a postal code, but the hierarchy and instances are different.",1
1.0,10,PurchaseOrder.Header.Contact.telephone,PO.Contact.contactPhone,60,1,20,"60, Both refer to phone numbers, but the hierarchy and instances are different.",1
0.0,11,PurchaseOrder.DeliverTo.Address.stateProvince,PO.POBillTo.stateProvince,80,1,60,"80, Both refer to a state/province, but the hierarchy is different and there are differences in the instances.",1
0.0,12,PurchaseOrder.Header.ourAccountCode,PO.Contact.contactFunctionCode,40,0,20,"40, Both have a string data type, but the hierarchy and instances are different.",1
0.0,13,PurchaseOrder.Header.Contact.contactName,PO.Contact,20,0,60,"20, The hierarchy is different and there is no overlap in the instances.",1
1.0,14,PurchaseOrder.Header.orderDate,PO.POHeader.poDate,70,1,40,"70, Both refer to the date of the order, but the hierarchy is different and there are differences in the instance format.",1
0.0,15,PurchaseOrder.Header.ourAccountCode,PO.POBillTo.postalCode,30,0,40,"30, Both have a string data type, but the hierarchy and instances are different.",1
1.0,16,PurchaseOrder.Items.Item.partNumber,PO.POLines.Item.partNo,80,1,60,"80, Both refer to a part number, but the hierarchy is different.",1
0.0,17,PurchaseOrder.Items,PO.POLines.Item,90,1,80,"90, Both represent a collection of items, but the hierarchy is different.",1
0.0,18,PurchaseOrder.InvoiceTo.Contact.contactName,PO.Contact,20,0,60,"20, The hierarchy is different and there is no overlap in the instances.",1
0.0,19,PurchaseOrder.Items.Item.salesValue,PO.Contact,10,0,80,"10, The data types and hierarchy are completely different.",1
1.0,20,PurchaseOrder.Header.Contact.e-mail,PO.Contact.contactEmail,80,1,60,"80, A refers to a general email while B corresponds to the specific contact email, which is a string.",1
0.0,21,PurchaseOrder.DeliverTo.Contact.companyName,PO.Contact.contactName,40,0,20,"40, Both are strings, but the hierarchy and instances are different.",1
1.0,22,PurchaseOrder.Items.Item.quantity,PO.POLines.Item.qty,90,1,80,"90, Both refer to the quantity of the item, but the data types are different and the hierarchy is slightly different.",1
1.0,23,PurchaseOrder.DeliverTo,PO.POShipTo,90,1,80,"90, Both represent the delivery location, but the hierarchy is different.",1
0.0,24,PurchaseOrder.Items.itemCount,PO.POLines.Item,60,1,20,"60, Both refer to the items, but the hierarchy is different.",2
1.0,25,PurchaseOrder.Items.itemCount,PO.POLines.count,80,1,60,"80, Both refer to the number of items, but the hierarchy is different.",1
1.0,26,PurchaseOrder.Header.orderNum,PO.POHeader.poNumber,90,1,80,"90, Both refer to the order/purchase order number, but the hierarchy is slightly different.",1
0.0,27,PurchaseOrder.InvoiceTo.Address,PO.POLines.Item.qty,20,0,60,"20, The data types and hierarchy are completely different.",1
1.0,28,PurchaseOrder.InvoiceTo.Contact.e-mail,PO.Contact.contactEmail,70,1,40,"70, Both refer to an email address, but the hierarchy is slightly different.",1
1.0,29,PurchaseOrder.Items,PO.POLines,90,1,80,"90, Both represent a collection of items, but the hierarchy is different.",1
1.0,30,PurchaseOrder.Items.Item.unitOfMeasure,PO.POLines.Item.uom,100,1,100,"100, Both refer to the unit of measure and have the same name and type.",1
