realConf,order,h_sch_1,h_sch_2,sub_val,binary_decision,normalized_conf,full_answer,tries
0.0,1,PurchaseOrder.DeliverTo.Contact,PO.Contact.contactName,80,1,60,"80, 'Contact term A matches contactName in term B based on similar hierarchy and instances.'",1
0.0,2,PurchaseOrder.DeliverTo.Contact,PO.Contact.contactEmail,20,0,60,"20, 'Contact term A does not match contactEmail in term B due to different types and hierarchy.'",1
1.0,3,PurchaseOrder.InvoiceTo.Contact.telephone,PO.Contact.contactPhone,60,1,20,"60, 'telephone in term A matches contactPhone in term B based on similar instances despite different hierarchy and sibling terms.'",1
0.0,4,PurchaseOrder.InvoiceTo.Contact,PO.Contact.contactName,90,1,80,"90, 'Contact term A matches contactName in term B based on similar hierarchy and siblings.'",1
1.0,5,PurchaseOrder.Header,PO.POHeader,40,0,20,"40, 'Header in term A doesn't match POHeader in term B due to different hierarchies and siblings.'",1
0.0,6,PurchaseOrder.InvoiceTo.Address.postalCode,PO.POShipTo.postalCode,55,1,10,"55, 'postalCode in term A partially matches postalCode in term B, considering similar types, but different hierarchies and siblings.'",2
1.0,7,PurchaseOrder.DeliverTo.Contact.telephone,PO.Contact.contactPhone,70,1,40,"70, 'telephone in term A partially matches contactPhone in term B based on similar instances and sibling terms, despite different hierarchies.'",1
1.0,8,PurchaseOrder,PO,90,1,80,"90, 'PurchaseOrder in term A matches PO in term B based on identical terms.'",1
0.0,9,PurchaseOrder.DeliverTo.Address.postalCode,PO.POBillTo.postalCode,40,0,20,"40, 'postalCode in term A doesn't match postalCode in term B due to different hierarchies and siblings.'",1
1.0,10,PurchaseOrder.Header.Contact.telephone,PO.Contact.contactPhone,70,1,40,"70, 'telephone in term A partially matches contactPhone in term B based on similar instances and sibling terms, despite different hierarchies.'",1
0.0,11,PurchaseOrder.DeliverTo.Address.stateProvince,PO.POBillTo.stateProvince,30,0,40,"30, 'stateProvince in term A doesn't match stateProvince in term B due to different hierarchies and instances.'",1
0.0,12,PurchaseOrder.Header.ourAccountCode,PO.Contact.contactFunctionCode,10,0,80,"10, 'ourAccountCode in term A does not match contactFunctionCode in term B based on different types, hierarchy, and instances.'",1
0.0,13,PurchaseOrder.Header.Contact.contactName,PO.Contact,20,0,60,"20, 'contactName in term A does not match Contact in term B due to different types, hierarchies, and sibling terms.'",1
1.0,14,PurchaseOrder.Header.orderDate,PO.POHeader.poDate,55,1,10,"55, 'orderDate in term A partially matches poDate in term B based on similar types and instances, despite different hierarchies and sibling terms.'",2
0.0,15,PurchaseOrder.Header.ourAccountCode,PO.POBillTo.postalCode,10,0,80,"10, 'ourAccountCode in term A does not match postalCode in term B based on different types, hierarchy, and instances.'",1
1.0,16,PurchaseOrder.Items.Item.partNumber,PO.POLines.Item.partNo,30,0,40,"30, 'partNumber in term A partially matches partNo in term B based on similar types, despite different hierarchies, siblings, and instances.'",1
0.0,17,PurchaseOrder.Items,PO.POLines.Item,40,0,20,"40, 'Items in term A doesn't match Item in term B due to different hierarchies and sibling terms.'",1
0.0,18,PurchaseOrder.InvoiceTo.Contact.contactName,PO.Contact,20,0,60,"20, 'contactName in term A does not match Contact in term B due to different types, hierarchies, and sibling terms.'",1
0.0,19,PurchaseOrder.Items.Item.salesValue,PO.Contact,10,0,80,"10, 'salesValue in term A does not match Contact in term B due to different types and hierarchies.'",1
1.0,20,PurchaseOrder.Header.Contact.e-mail,PO.Contact.contactEmail,75,1,50,"75, 'e-mail in term A partially matches contactEmail in term B based on similar types and instances despite different hierarchies.'",1
0.0,21,PurchaseOrder.DeliverTo.Contact.companyName,PO.Contact.contactName,30,0,40,"30, 'companyName in term A doesn't match contactName in term B due to different types, hierarchies, and instances.'",1
1.0,22,PurchaseOrder.Items.Item.quantity,PO.POLines.Item.qty,55,1,10,"55, 'quantity in term A partially matches qty in term B based on similar types and instances, despite different hierarchies and sibling terms.'",2
1.0,23,PurchaseOrder.DeliverTo,PO.POShipTo,40,0,20,"40, 'DeliverTo in term A doesn't match POShipTo in term B due to different hierarchies and sibling terms.'",1
0.0,24,PurchaseOrder.Items.itemCount,PO.POLines.Item,30,0,40,"30, 'itemCount in term A doesn't match Item in term B due to different hierarchies and sibling terms.'",1
1.0,25,PurchaseOrder.Items.itemCount,PO.POLines.count,60,1,20,"60, 'itemCount in term A matches count in term B based on similar types and instances, despite different hierarchies and sibling terms.'",1
1.0,26,PurchaseOrder.Header.orderNum,PO.POHeader.poNumber,80,1,60,"80, 'orderNum in term A matches poNumber in term B based on similar types and instances, despite different hierarchies and sibling terms.'",1
0.0,27,PurchaseOrder.InvoiceTo.Address,PO.POLines.Item.qty,20,0,60,"20, 'Address in term A doesn't match qty in term B due to different types, hierarchies, and sibling terms.'",1
1.0,28,PurchaseOrder.InvoiceTo.Contact.e-mail,PO.Contact.contactEmail,75,1,50,"75, 'e-mail in term A partially matches contactEmail in term B based on similar types and instances despite different hierarchies.'",1
1.0,29,PurchaseOrder.Items,PO.POLines,60,1,20,"60, 'Items in term A matches POLines in term B based on identical terms.'",1
1.0,30,PurchaseOrder.Items.Item.unitOfMeasure,PO.POLines.Item.uom,80,1,60,"80, 'unitOfMeasure in term A matches uom in term B based on similar types and instances, despite different hierarchies and sibling terms.'",1
